Power,T_heater,T_liquid
10,47.5,40.5
20,49.7,42
30,51.3,43.1
40,52.5,44.3
45,53.2,45.2
50,53.9,46.2
55,54.4,46.9
60,54.7,47.1
65,55,47.3
70,55.2,47.5
75,55.4,47.7
80,55.6,47.8
85,55.7,47.9
90,55.9,48
95,56,48
100,56.1,48.2
105,56.2,48.2
110,56.3,48.4
115,56.4,48.4
120,56.5,48.5
130,56.8,48.6
140,57.1,48.9
150,57.4,49.1
160,57.7,49.2
170,58.1,49.4
180,58.4,49.6
190,58.7,49.8
200,59.1,49.9
210,59.4,50.1
220,59.9,50.2
230,61.2,50.5
240,61.6,50.6
250,62.6,50.7
260,63.1,50.9
270,64.2,51.1
280,65.9,51.2
290,67.1,51.4
300,69.3,51.6